,link_name,num_likes,status_message,status_type
88,Timeline Photos,1949,"6 mois SANS intérêts !!! LENOVO Y5070 -i7-4710HQ / 16GO/ 1TO HDD+8 GO SSHD/ 15.6'' Full HD/ GTX 860M 4GO Dédiée & Win8 à 2499 TTC !!! 
www.mytek.tn",photo
89,Timeline Photos,1949,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT,photo
90,Timeline Photos,1928,"Profitez de 50DT de réduction sur le pc portable HP 15-d001sk Quad Core, 500Go stockage à 529DT au lieu de 579DT
http://www.mytek.tn/content/34-ventes-flash-sur-les-pc-portables-tablette-smartphone-en-tunisie",photo
91,Timeline Photos,1875,"Tablette SAMSUNG Galaxy Tab 3 7'' à 269 TTC
www.mytek.tn",photo
92,Timeline Photos,1866,"Vivez la fête du printemps avec Mytek ! HP Pavilion X2 à 669 TTC avec office 365 !!
www.mytek.tn",photo
93,Timeline Photos,1859,"Smartwatch+ Casque VR Box 3D à 89dt au lieu de 179dt
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/montre-connectee-tunisie/8061-pack-casque-virtuel-vr-box-3d-smart-watch-u8-bluetooth.html",photo
94,Timeline Photos,1851,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
95,Timeline Photos,1837,"Seulement chez MYTEK, ASUS E402SA /Dual-Core/ 2Go /32Go eMMC à 399dt
http://www.mytek.tn/pc-portable/8086-pc-portable-asus-e402sa-dual-core-2go-32go-emmc.html?search_query=E402SA&results=1
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
96,Timeline Photos,1814,"Les meilleurs offres sont toujours chez Mytek !Tablette Acer Iconia B1-721 à 229 TTC au lieu de 329 TTC + 1Go d'internet offerte !!
www.mytek.tn",photo
97,Timeline Photos,1787,"Les meilleurs offres sont toujours chez Mytek !! La tablette ASUS Memo Pad 7''/ 1Go Ram/ Double camera à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
98,Timeline Photos,1719,"Plus de 5000 articles High-Tech en stock et des PROMOS chaque jour
Commandez en ligne & payez à la livraison
0 frais à partir de 300dt d'achats
www.mytek.tn",photo
99,Timeline Photos,1687,"Spéciale Rentrée des Classes, Sac à Dos Orthopédique Junior à 149 DT Seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)

http://www.mytek.tn/sacs-sacoches-tunisie/8013-sac-a-dos-junior-orthopedique-.html",photo
100,Timeline Photos,1679,"Les meilleurs offres sont toujours chez Mytek ! Samsung Galaxy Note 4 + TIGE SELFI / à 1525 TTC seulement !!!
www.mytek.tn",photo
101,Timeline Photos,1679,"Profitez de l'offre spéciale de fin d'année sur le pc portable HP 15-r121nk i3 4Go 500Go + Souris + Casque Stéréo HP à 699DT
www.mytek.tn",photo
102,Timeline Photos,1677,"Ne ratez pas cette occasion, climatiseur Condor 12000 BTU Chaud/Froid tropicalisé a 749 TTC au lieu de 849 TTC !!!
Offre valable jusqu’au 15/08/2016 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/climatiseur-tunisie/7852-climatiseur-condor-split-gcm-tropical-12000-btu-chaudfroid-cshr12-cgm1t3.html",photo
103,Timeline Photos,1675,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT,photo
104,Timeline Photos,1669,"HP Pavillon i7-5500 /16 Go /1 To / 4Go GeForce / Win8 à 1599 DT !!!
Grand choix High - Tech & + que 1500 articles en stock !!!
www.mytek.tn",photo
105,Timeline Photos,1668,"Tablette PointOfView MOBII 701 à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
106,Timeline Photos,1661,"Enregistrer tout ce qui se déroule devant vous...
Dashcam FullHD est disponible chez Mytek a 135DT seulement!!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
107,Mobile Uploads,1657,"Les Jours Anniversaires Mytek Commencent....Profitez ...HP i5 8Go au meilleur prix !! Pleins de cadeaux & de remises Exceptionnelles !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
108,Timeline Photos,1640,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
-و استدعى أصحابك لصفحتنا 
=> تدخل في قرعة و تربح PC ASUS  نهار 30 نوفمبر 2015
www.mytek.tn",photo
109,Timeline Photos,1568,"Surveillez votre résidence ou votre commerce avec caméra 
D-link facile à installer sur WiFi sans DVR à 89 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
110,Timeline Photos,1550,"Profitez-en vite !! les plus beaux cadeaux chez MYTEK à des prix fous !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
